SAFRA,LOCAL,DATA,CONDICAO,TRATAMENTO,DISTANCIA,REPETICAO,APIS,NÇO_APIS,TOTAL ABELHAS
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,F,0,0,0
22-23,CAPAO ,17/12/2022,SOL,SIK+BEE,25,A,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,B,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,C,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,D,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,E,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,F,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,50,A,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,B,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,50,C,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,D,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,50,E,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,F,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,100,A,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK+BEE,100,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK+BEE,100,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK+BEE,100,E,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,100,F,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,A,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,B,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK+BEE,200,D,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,E,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,200,F,1,0,1
22-23,CAPAO ,NA,SOL,SIK,25,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,D,1,0,1
22-23,CAPAO ,NA,SOL,SIK,200,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,F,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,A,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,B,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,C,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,E,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,F,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,A,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,B,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,C,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,E,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,F,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,A,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,B,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,C,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,E,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,F,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,A,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,B,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,C,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,D,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,E,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,200,F,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL,25,A,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,25,B,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,25,C,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,25,D,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,25,E,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,25,F,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,A,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,B,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,C,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,D,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,E,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,50,F,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,100,A,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,100,B,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL,100,C,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,100,D,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,100,E,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,100,F,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,200,A,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,200,B,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,200,C,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,200,D,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL,200,E,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL,200,F,0,0,0
22-23,CAPAO ,18/12/2022,NUBLADO,SIK+BEE,25,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,E,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,F,0,0,0
22-23,CAPAO ,20/12/2022,NUBLADO,SIK+BEE,25,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,B,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,25,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,50,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,SIK+BEE,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,25,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,50,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,SIK,200,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,A,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,C,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,E,2,0,2
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,25,F,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,E,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,50,F,2,0,2
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,B,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,D,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,100,F,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL+BEE,200,F,1,0,1
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,25,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,50,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,100,F,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,A,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,B,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,C,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,D,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,E,0,0,0
22-23,CAPAO ,NA,NUBLADO,CONTROL,200,F,0,0,0
22-23,CAPAO ,22/12/2022,SOL,SIK+BEE,25,A,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,25,B,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,25,C,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,25,D,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,25,E,3,0,3
22-23,CAPAO ,NA,SOL,SIK+BEE,25,F,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,A,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,B,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,C,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,D,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,50,E,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,50,F,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,A,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,B,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,100,C,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,D,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,E,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,100,F,2,0,2
22-23,CAPAO ,NA,SOL,SIK+BEE,200,A,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,B,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,C,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,D,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,E,1,0,1
22-23,CAPAO ,NA,SOL,SIK+BEE,200,F,2,0,2
22-23,CAPAO ,NA,SOL,SIK,25,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,D,1,0,1
22-23,CAPAO ,NA,SOL,SIK,25,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,25,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,50,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,100,F,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,A,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,B,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,C,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,D,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,E,0,0,0
22-23,CAPAO ,NA,SOL,SIK,200,F,0,0,0
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,A,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,B,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,C,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,E,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,25,F,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,A,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,B,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,C,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,E,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,50,F,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,A,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,B,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,C,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,D,2,0,2
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,E,1,0,1
22-23,CAPAO ,NA,SOL,CONTROL+BEE,100,F,1,0,1
